customer_id,day,category,amount
1,0,0,43.64
2,0,2,14.05
3,0,1,23.62
6,0,2,57.86
6,0,2,63.44
6,0,2,81.67
7,0,2,42.28
10,0,0,132.66
11,0,0,10.62
21,0,2,35.64
27,0,0,56.81
28,0,1,3.58
30,0,2,80.67
31,0,2,32.58
31,0,0,33.95
36,0,2,14.82
36,0,3,55.66
38,0,3,193.67
39,0,3,140.69
43,0,2,33.83
44,0,2,45.72
44,0,2,25.98
44,0,0,17.99
47,0,0,17.86
49,0,0,17.12
51,0,0,85.6
52,0,0,29.44
58,0,2,34.93
59,0,0,44.66
60,0,2,54.15
61,0,2,32.03
61,0,1,24.53
62,0,2,24.93
63,0,0,28.4
67,0,0,39.29
67,0,0,25.46
67,0,1,18.43
67,0,1,30.93
67,0,1,9.07
68,0,2,10.66
69,0,2,37.95
71,0,0,44.34
82,0,2,20.79
82,0,2,37.95
86,0,0,15.05
86,0,2,57.76
86,0,2,55.56
89,0,0,7.34
94,0,0,124.46
96,0,1,162.13
97,0,0,6.15
106,0,0,57.3
111,0,1,18.94
111,0,1,7.48
115,0,1,18.9
115,0,1,13.62
116,0,0,76.56
116,0,1,34.46
116,0,2,60.02
116,0,0,48.22
117,0,0,11.53
117,0,3,52.89
118,0,0,19.52
120,0,0,30.77
126,0,0,25.59
135,0,3,96.64
139,0,1,23.93
140,0,1,17.06
141,0,0,8.76
143,0,1,4.8
145,0,2,41.27
147,0,1,7.32
147,0,1,43.45
148,0,2,12.67
150,0,0,38.7
152,0,3,61.81
155,0,0,24.1
156,0,3,90.22
157,0,0,21.76
159,0,0,38.01
160,0,2,38.7
161,0,2,16.53
162,0,1,16.04
163,0,0,43.05
166,0,0,65.62
166,0,0,40.45
169,0,1,10.23
169,0,0,17.26
169,0,0,5.42
169,0,0,17.14
171,0,1,7.48
180,0,0,36.29
183,0,0,7.94
183,0,0,17.35
183,0,1,9.34
188,0,0,81.28
193,0,1,37.55
194,0,2,71.9
195,0,0,16.66
200,0,2,45.36
200,0,0,81.78
205,0,0,30.33
205,0,0,40.09
207,0,2,74.75
209,0,2,69.16
211,0,1,55.3
212,0,1,11.8
217,0,3,108.63
217,0,0,15.49
220,0,0,57.71
220,0,1,22.31
224,0,1,20.44
226,0,2,16.06
226,0,1,14.26
226,0,1,5.79
226,0,1,9.85
232,0,0,41.93
234,0,0,2.84
240,0,2,54.97
246,0,2,45.43
250,0,2,31.76
253,0,0,32.94
253,0,2,49.66
254,0,2,438.37
255,0,1,27.39
255,0,2,172.66
259,0,1,144.67
259,0,2,798.5
261,0,3,178.96
262,0,2,67.65
266,0,2,12.03
269,0,0,27.49
269,0,1,9.62
273,0,0,17.69
274,0,0,51.47
274,0,1,28.14
278,0,2,58.25
281,0,1,46.92
288,0,0,53.07
290,0,0,34.45
291,0,2,42.75
295,0,2,86.05
297,0,3,208.94
304,0,0,12.71
304,0,3,24.91
306,0,3,87.53
306,0,1,31.54
306,0,0,15.12
306,0,3,176.52
308,0,1,14.14
310,0,0,54.52
310,0,0,123.65
310,0,2,222.84
311,0,2,54.83
312,0,0,23.01
313,0,1,7.37
316,0,0,11.69
318,0,1,6.9
319,0,0,69.42
320,0,1,17.77
323,0,2,55.08
323,0,2,62.29
324,0,0,20.42
328,0,0,22.86
333,0,2,18.62
333,0,1,32.61
335,0,0,10.22
340,0,3,80.44
340,0,0,16.08
343,0,2,16.25
345,0,0,22.83
348,0,2,154.87
350,0,0,4.69
353,0,1,17.3
355,0,0,39.33
360,0,2,40.66
361,0,1,9.9
361,0,1,23.88
363,0,1,50.72
366,0,2,46.67
369,0,0,10.79
369,0,1,13.56
370,0,2,66.32
371,0,2,28.29
373,0,1,17.66
373,0,3,75.9
375,0,2,15.83
381,0,0,65.14
381,0,1,66.66
386,0,0,38.73
387,0,0,10.35
387,0,0,27.99
388,0,1,13.96
399,0,1,11.1
403,0,1,23.37
403,0,2,39.7
406,0,1,21.11
407,0,1,17.34
410,0,0,30.11
410,0,0,26.47
411,0,0,55.93
412,0,3,200.08
414,0,1,24.11
414,0,0,37.49
414,0,2,47.18
415,0,0,102.24
415,0,1,49.47
418,0,0,26.27
418,0,2,60.52
418,0,2,51.95
422,0,1,17.8
429,0,0,47.97
437,0,0,28.38
437,0,0,36.79
440,0,2,75.19
440,0,0,31.54
443,0,1,3.66
447,0,0,14.32
448,0,1,58.49
448,0,2,28.47
449,0,1,32.56
453,0,2,42.39
457,0,3,157.05
457,0,0,61.31
458,0,1,11.0
458,0,3,253.64
462,0,0,21.97
464,0,1,29.71
466,0,0,49.95
466,0,3,108.25
467,0,2,30.81
468,0,0,17.65
470,0,0,31.99
470,0,0,21.75
474,0,1,12.72
477,0,1,87.4
478,0,0,6.01
478,0,1,22.93
480,0,2,18.65
483,0,3,126.32
484,0,0,51.7
485,0,1,12.77
486,0,0,23.3
487,0,1,9.62
488,0,2,66.63
488,0,2,68.09
489,0,2,177.0
489,0,1,144.5
489,0,2,403.55
489,0,2,211.76
496,0,0,15.32
496,0,2,46.32
499,0,3,256.91
504,0,0,30.15
505,0,2,21.51
506,0,3,138.14
507,0,3,43.36
509,0,0,19.77
510,0,1,18.78
512,0,2,46.35
515,0,2,28.46
516,0,0,20.67
519,0,3,68.48
519,0,2,47.68
528,0,2,26.25
528,0,2,39.33
528,0,0,7.05
531,0,0,67.58
531,0,2,156.85
532,0,1,14.81
534,0,1,18.53
536,0,0,33.67
537,0,0,61.92
539,0,0,22.84
539,0,3,66.53
539,0,1,7.72
542,0,2,24.22
542,0,0,11.44
543,0,0,30.27
553,0,0,27.1
554,0,0,61.86
555,0,1,7.48
556,0,0,60.1
556,0,0,72.0
557,0,3,86.24
559,0,1,25.91
565,0,1,48.48
567,0,0,28.25
569,0,1,40.49
574,0,2,38.83
575,0,1,20.89
578,0,1,17.13
579,0,0,17.96
579,0,0,15.98
579,0,3,69.35
584,0,1,14.67
584,0,1,22.92
584,0,0,39.52
584,0,2,33.79
588,0,0,30.79
588,0,2,72.96
594,0,1,12.68
596,0,0,73.58
596,0,0,39.41
597,0,1,11.09
599,0,1,19.32
599,0,1,4.88
600,0,0,48.35
601,0,2,15.57
606,0,3,77.99
609,0,0,38.38
611,0,2,46.33
612,0,0,12.46
612,0,0,57.24
612,0,1,10.14
613,0,1,14.85
614,0,2,114.22
614,0,0,58.65
615,0,0,8.06
616,0,0,23.18
616,0,1,19.77
616,0,0,31.94
618,0,0,11.92
618,0,2,40.06
622,0,0,33.74
628,0,1,9.51
631,0,0,39.78
631,0,1,31.33
632,0,2,16.3
634,0,2,44.6
634,0,3,234.97
636,0,1,4.93
637,0,1,6.31
639,0,2,19.31
639,0,0,11.79
643,0,1,65.55
643,0,3,325.79
644,0,3,248.53
644,0,0,18.22
645,0,2,100.97
647,0,0,32.59
647,0,2,37.12
649,0,0,18.01
649,0,0,27.33
650,0,0,62.52
651,0,1,125.48
651,0,1,99.18
653,0,1,38.39
654,0,2,15.61
658,0,2,254.54
658,0,0,73.27
658,0,1,74.73
659,0,0,8.83
662,0,0,63.47
665,0,0,22.73
670,0,1,5.12
670,0,0,58.96
672,0,0,61.81
673,0,0,18.92
682,0,0,50.4
686,0,1,6.66
687,0,0,63.71
688,0,2,31.13
688,0,3,95.38
695,0,2,18.51
701,0,1,21.32
702,0,3,127.31
702,0,0,35.48
702,0,2,22.29
702,0,2,81.08
707,0,1,7.2
711,0,2,13.6
712,0,1,30.46
714,0,2,37.23
714,0,2,40.54
717,0,1,41.15
718,0,1,35.48
719,0,2,36.25
719,0,0,15.73
719,0,2,75.61
726,0,1,16.84
729,0,0,20.12
730,0,2,31.14
730,0,2,15.22
732,0,0,71.48
732,0,1,26.53
732,0,0,17.17
